"YearsInEd","n","exit_rate_by_exp","exit_n_by_exp","year"
"1",7115,0.10498945888967,747,"2015-16"
"10",6850,0.0357664233576642,245,"2015-16"
"11",6775,0.028929889298893,196,"2015-16"
"12",6213,0.0336391437308868,209,"2015-16"
"13",5777,0.0304656396053315,176,"2015-16"
"14",5842,0.0292707976720301,171,"2015-16"
"15",5875,0.0316595744680851,186,"2015-16"
"16",6395,0.0284597341673182,182,"2015-16"
"17",5329,0.0298367423531619,159,"2015-16"
"18",4817,0.0315549096948308,152,"2015-16"
"19",4004,0.0432067932067932,173,"2015-16"
"2",5893,0.0767011708807059,452,"2015-16"
"20",3673,0.0481894908793901,177,"2015-16"
"21",3302,0.0569351907934585,188,"2015-16"
"22",3439,0.0479790636813027,165,"2015-16"
"23",2571,0.0521197977440685,134,"2015-16"
"24",2286,0.0669291338582677,153,"2015-16"
"25",2317,0.0802762192490289,186,"2015-16"
"26",2077,0.077997111218103,162,"2015-16"
"27",1869,0.0845371856607812,158,"2015-16"
"28",1769,0.0864895421141888,153,"2015-16"
"29",1581,0.0974067046173308,154,"2015-16"
"3",4804,0.0703580349708576,338,"2015-16"
"30",1414,0.126591230551627,179,"2015-16"
"31",1152,0.130208333333333,150,"2015-16"
"32",944,0.162076271186441,153,"2015-16"
"33",776,0.228092783505155,177,"2015-16"
"34",800,0.3,240,"2015-16"
"35",673,0.319465081723626,215,"2015-16"
"36",631,0.329635499207607,208,"2015-16"
"37",451,0.328159645232816,148,"2015-16"
"38",294,0.329931972789116,97,"2015-16"
"39",217,0.36405529953917,79,"2015-16"
"4",4143,0.0661356504948105,274,"2015-16"
"40",178,0.331460674157303,59,"2015-16"
"41",114,0.298245614035088,34,"2015-16"
"42",90,0.333333333333333,30,"2015-16"
"43",51,0.431372549019608,22,"2015-16"
"44",32,0.28125,9,"2015-16"
"45",18,0.333333333333333,6,"2015-16"
"46",21,0.238095238095238,5,"2015-16"
"47",13,0.384615384615385,5,"2015-16"
"48",10,0.4,4,"2015-16"
"49",2,0.5,1,"2015-16"
"5",5334,0.0569928758905137,304,"2015-16"
"50",3,0,0,"2015-16"
"51",4,0.5,2,"2015-16"
"52",2,0.5,1,"2015-16"
"53",4,0.25,1,"2015-16"
"54",1,1,1,"2015-16"
"55",2,0.5,1,"2015-16"
"56",2,0.5,1,"2015-16"
"57",1,0,0,"2015-16"
"59",1,0,0,"2015-16"
"6",6453,0.0547032388036572,353,"2015-16"
"61",1,0,0,"2015-16"
"66",1,0,0,"2015-16"
"7",6918,0.0383058687481931,265,"2015-16"
"72",1,0,0,"2015-16"
"74",1,1,1,"2015-16"
"8",7099,0.0397239047753205,282,"2015-16"
"9",6751,0.0346615316249445,234,"2015-16"
"1",7391,0.0970098768772832,717,"2016-17"
"2",6522,0.0775835633241337,506,"2016-17"
"3",5617,0.0617767491543529,347,"2016-17"
"4",4617,0.0526315789473684,243,"2016-17"
"5",4219,0.0542782649917042,229,"2016-17"
"6",5143,0.0536651759673342,276,"2016-17"
"7",6332,0.0442198357548958,280,"2016-17"
"8",6765,0.0402069475240207,272,"2016-17"
"9",6994,0.030311695739205,212,"2016-17"
"10",6733,0.0295559186098322,199,"2016-17"
"11",6640,0.0283132530120482,188,"2016-17"
"12",6673,0.0289225236025776,193,"2016-17"
"13",6144,0.0304361979166667,187,"2016-17"
"14",5822,0.0291995877705256,170,"2016-17"
"15",5767,0.0287844633258193,166,"2016-17"
"16",5670,0.0287477954144621,163,"2016-17"
"17",6313,0.0262949469348962,166,"2016-17"
"18",5249,0.0323871213564488,170,"2016-17"
"19",4714,0.0371234620280017,175,"2016-17"
"20",3839,0.0343839541547278,132,"2016-17"
"21",3532,0.0424688561721404,150,"2016-17"
"22",3136,0.0443239795918367,139,"2016-17"
"23",3256,0.0466830466830467,152,"2016-17"
"24",2438,0.0578342904019688,141,"2016-17"
"25",2217,0.0658547586829048,146,"2016-17"
"26",2114,0.0737937559129612,156,"2016-17"
"27",1929,0.0824261275272162,159,"2016-17"
"28",1734,0.0859284890426759,149,"2016-17"
"29",1619,0.0951204447189623,154,"2016-17"
"30",1485,0.129292929292929,192,"2016-17"
"31",1191,0.123425692695214,147,"2016-17"
"32",1016,0.150590551181102,153,"2016-17"
"33",763,0.203145478374836,155,"2016-17"
"34",633,0.243285939968404,154,"2016-17"
"35",569,0.339191564147627,193,"2016-17"
"36",458,0.318777292576419,146,"2016-17"
"37",402,0.263681592039801,106,"2016-17"
"38",295,0.288135593220339,85,"2016-17"
"39",199,0.296482412060302,59,"2016-17"
"40",139,0.316546762589928,44,"2016-17"
"41",113,0.31858407079646,36,"2016-17"
"42",84,0.345238095238095,29,"2016-17"
"43",60,0.233333333333333,14,"2016-17"
"44",27,0.296296296296296,8,"2016-17"
"45",25,0.24,6,"2016-17"
"46",13,0.384615384615385,5,"2016-17"
"47",14,0.357142857142857,5,"2016-17"
"48",9,0,0,"2016-17"
"49",5,0.4,2,"2016-17"
"50",2,0,0,"2016-17"
"51",4,0.25,1,"2016-17"
"52",3,0.333333333333333,1,"2016-17"
"53",3,0.333333333333333,1,"2016-17"
"54",2,0.5,1,"2016-17"
"56",1,0,0,"2016-17"
"57",1,0,0,"2016-17"
"58",1,1,1,"2016-17"
"60",1,0,0,"2016-17"
"66",1,0,0,"2016-17"
"1",6368,0.115263819095477,734,"2017-18"
"2",7172,0.0730619074177356,524,"2017-18"
"3",6280,0.0601910828025478,378,"2017-18"
"4",5424,0.0519911504424779,282,"2017-18"
"5",4572,0.0551181102362205,252,"2017-18"
"6",4132,0.0510648596321394,211,"2017-18"
"7",4911,0.0474445123192832,233,"2017-18"
"8",6090,0.0385878489326765,235,"2017-18"
"9",6506,0.0318167845066093,207,"2017-18"
"10",6925,0.031913357400722,221,"2017-18"
"11",6598,0.029857532585632,197,"2017-18"
"12",6543,0.0236894390952163,155,"2017-18"
"13",6614,0.0229815542788025,152,"2017-18"
"14",6022,0.0300564596479575,181,"2017-18"
"15",5706,0.0287416754293726,164,"2017-18"
"16",5653,0.0251194056253317,142,"2017-18"
"17",5575,0.0308520179372197,172,"2017-18"
"18",6263,0.0281015487785406,176,"2017-18"
"19",5075,0.0297536945812808,151,"2017-18"
"20",4688,0.0319965870307167,150,"2017-18"
"21",3761,0.0340335017282638,128,"2017-18"
"22",3424,0.0420560747663551,144,"2017-18"
"23",2990,0.0438127090301003,131,"2017-18"
"24",3135,0.0551834130781499,173,"2017-18"
"25",2340,0.0628205128205128,147,"2017-18"
"26",2052,0.0760233918128655,156,"2017-18"
"27",1958,0.083758937691522,164,"2017-18"
"28",1785,0.0761904761904762,136,"2017-18"
"29",1602,0.0973782771535581,156,"2017-18"
"30",1506,0.107569721115538,162,"2017-18"
"31",1267,0.12707182320442,161,"2017-18"
"32",1079,0.151992585727525,164,"2017-18"
"33",856,0.192757009345794,165,"2017-18"
"34",624,0.246794871794872,154,"2017-18"
"35",491,0.340122199592668,167,"2017-18"
"36",389,0.318766066838046,124,"2017-18"
"37",322,0.316770186335404,102,"2017-18"
"38",291,0.264604810996564,77,"2017-18"
"39",206,0.296116504854369,61,"2017-18"
"40",148,0.317567567567568,47,"2017-18"
"41",98,0.244897959183673,24,"2017-18"
"42",82,0.341463414634146,28,"2017-18"
"43",55,0.345454545454545,19,"2017-18"
"44",45,0.2,9,"2017-18"
"45",19,0.105263157894737,2,"2017-18"
"46",21,0.19047619047619,4,"2017-18"
"47",8,0.25,2,"2017-18"
"48",10,0.4,4,"2017-18"
"49",8,0.5,4,"2017-18"
"50",4,0.5,2,"2017-18"
"51",2,1,2,"2017-18"
"52",3,0,0,"2017-18"
"53",1,0,0,"2017-18"
"54",1,0,0,"2017-18"
"55",1,1,1,"2017-18"
"56",2,0.5,1,"2017-18"
"57",1,0,0,"2017-18"
"60",1,0,0,"2017-18"
"61",1,0,0,"2017-18"
"65",1,0,0,"2017-18"
"1",4982,0.0983540746688077,490,"2018-19"
"2",6468,0.072665429808287,470,"2018-19"
"3",6580,0.0554711246200608,365,"2018-19"
"4",5995,0.0508757297748123,305,"2018-19"
"5",5428,0.0386882829771555,210,"2018-19"
"6",4585,0.0466739367502726,214,"2018-19"
"7",3986,0.0449071751128951,179,"2018-19"
"8",4700,0.0372340425531915,175,"2018-19"
"9",5939,0.0287927260481563,171,"2018-19"
"10",6389,0.0302081702926906,193,"2018-19"
"11",6765,0.026459719142646,179,"2018-19"
"12",6447,0.031177291763611,201,"2018-19"
"13",6451,0.0286777243838165,185,"2018-19"
"14",6542,0.0252216447569551,165,"2018-19"
"15",5944,0.0259084791386272,154,"2018-19"
"16",5620,0.0270462633451957,152,"2018-19"
"17",5518,0.0268213120695904,148,"2018-19"
"18",5440,0.0279411764705882,152,"2018-19"
"19",6085,0.028266228430567,172,"2018-19"
"20",4943,0.0331782318430103,164,"2018-19"
"21",4603,0.0384531827069303,177,"2018-19"
"22",3748,0.0400213447171825,150,"2018-19"
"23",3238,0.0426189005558987,138,"2018-19"
"24",2914,0.0415236787920384,121,"2018-19"
"25",3065,0.0535073409461664,164,"2018-19"
"26",2236,0.0621645796064401,139,"2018-19"
"27",1942,0.0669412976313079,130,"2018-19"
"28",1825,0.0668493150684931,122,"2018-19"
"29",1658,0.074788902291918,124,"2018-19"
"30",1443,0.0997920997920998,144,"2018-19"
"31",1353,0.114560236511456,155,"2018-19"
"32",1139,0.151009657594381,172,"2018-19"
"33",940,0.204255319148936,192,"2018-19"
"34",694,0.211815561959654,147,"2018-19"
"35",477,0.360587002096436,172,"2018-19"
"36",319,0.269592476489028,86,"2018-19"
"37",278,0.320143884892086,89,"2018-19"
"38",214,0.294392523364486,63,"2018-19"
"39",212,0.264150943396226,56,"2018-19"
"40",155,0.341935483870968,53,"2018-19"
"41",99,0.444444444444444,44,"2018-19"
"42",80,0.3375,27,"2018-19"
"43",55,0.327272727272727,18,"2018-19"
"44",37,0.297297297297297,11,"2018-19"
"45",34,0.147058823529412,5,"2018-19"
"46",17,0.352941176470588,6,"2018-19"
"47",19,0.315789473684211,6,"2018-19"
"48",5,0,0,"2018-19"
"49",7,0.142857142857143,1,"2018-19"
"50",4,0,0,"2018-19"
"51",2,0,0,"2018-19"
"52",1,0,0,"2018-19"
"53",3,0.333333333333333,1,"2018-19"
"54",1,0,0,"2018-19"
"55",1,0,0,"2018-19"
"58",1,1,1,"2018-19"
"62",1,0,0,"2018-19"
"70",1,0,0,"2018-19"
"1",5148,0.101204351204351,521,"2019-20"
"10",5856,0.0315915300546448,185,"2019-20"
"11",6293,0.0282853964722708,178,"2019-20"
"12",6596,0.0271376591873863,179,"2019-20"
"13",6320,0.0245253164556962,155,"2019-20"
"14",6330,0.0282780410742496,179,"2019-20"
"15",6413,0.0293154529861219,188,"2019-20"
"16",5846,0.0295928840232638,173,"2019-20"
"17",5539,0.0299693085394476,166,"2019-20"
"18",5397,0.0257550491013526,139,"2019-20"
"19",5309,0.0339046901488039,180,"2019-20"
"2",6627,0.0731854534480157,485,"2019-20"
"20",5976,0.0353078982597055,211,"2019-20"
"21",4809,0.0343106674984404,165,"2019-20"
"22",4457,0.0334305586717523,149,"2019-20"
"23",3623,0.0507866409053271,184,"2019-20"
"24",3134,0.0491384811742182,154,"2019-20"
"25",2776,0.0486311239193084,135,"2019-20"
"26",2942,0.0537049626104691,158,"2019-20"
"27",2119,0.0637092968381312,135,"2019-20"
"28",1818,0.0698569856985699,127,"2019-20"
"29",1732,0.081986143187067,142,"2019-20"
"3",6281,0.062728864830441,394,"2019-20"
"30",1544,0.112046632124352,173,"2019-20"
"31",1315,0.120912547528517,159,"2019-20"
"32",1211,0.132947976878613,161,"2019-20"
"33",977,0.168884339815763,165,"2019-20"
"34",748,0.217914438502674,163,"2019-20"
"35",553,0.289330922242315,160,"2019-20"
"36",308,0.256493506493506,79,"2019-20"
"37",243,0.296296296296296,72,"2019-20"
"38",186,0.327956989247312,61,"2019-20"
"39",151,0.324503311258278,49,"2019-20"
"4",6303,0.0490242741551642,309,"2019-20"
"40",160,0.31875,51,"2019-20"
"41",99,0.353535353535354,35,"2019-20"
"42",54,0.407407407407407,22,"2019-20"
"43",53,0.415094339622642,22,"2019-20"
"44",37,0.324324324324324,12,"2019-20"
"45",28,0.321428571428571,9,"2019-20"
"46",29,0.206896551724138,6,"2019-20"
"47",11,0.363636363636364,4,"2019-20"
"48",13,0.0769230769230769,1,"2019-20"
"49",5,0.4,2,"2019-20"
"5",5887,0.0438253779514184,258,"2019-20"
"50",6,0.333333333333333,2,"2019-20"
"51",4,0.5,2,"2019-20"
"52",2,0.5,1,"2019-20"
"53",1,0,0,"2019-20"
"54",2,0,0,"2019-20"
"55",1,0,0,"2019-20"
"56",1,1,1,"2019-20"
"6",5391,0.039695789278427,214,"2019-20"
"63",1,1,1,"2019-20"
"7",4477,0.0417690417690418,187,"2019-20"
"8",3912,0.0352760736196319,138,"2019-20"
"9",4645,0.0370290635091496,172,"2019-20"
"1",5708,0.0991590749824807,566,"2020-21"
"10",4617,0.0298895386614685,138,"2020-21"
"11",5706,0.0266386260077112,152,"2020-21"
"12",6185,0.0231204527081649,143,"2020-21"
"13",6465,0.025676720804331,166,"2020-21"
"14",6219,0.0265315967197299,165,"2020-21"
"15",6223,0.0241041298409127,150,"2020-21"
"16",6254,0.0231851614966422,145,"2020-21"
"17",5729,0.0226915692092861,130,"2020-21"
"18",5432,0.0290868924889543,158,"2020-21"
"19",5297,0.0358693600151029,190,"2020-21"
"2",6262,0.061801341424465,387,"2020-21"
"20",5202,0.0319108035371011,166,"2020-21"
"21",5814,0.0373237014103887,217,"2020-21"
"22",4667,0.0344975358902935,161,"2020-21"
"23",4334,0.0394554683894785,171,"2020-21"
"24",3481,0.0425165182418845,148,"2020-21"
"25",3019,0.0573037429612454,173,"2020-21"
"26",2667,0.0701162354705662,187,"2020-21"
"27",2794,0.0615604867573371,172,"2020-21"
"28",1997,0.071607411116675,143,"2020-21"
"29",1694,0.0944510035419126,160,"2020-21"
"3",6426,0.0564892623716153,363,"2020-21"
"30",1595,0.123510971786834,197,"2020-21"
"31",1381,0.120202751629254,166,"2020-21"
"32",1167,0.15681233933162,183,"2020-21"
"33",1063,0.213546566321731,227,"2020-21"
"34",822,0.244525547445255,201,"2020-21"
"35",587,0.330494037478705,194,"2020-21"
"36",399,0.323308270676692,129,"2020-21"
"37",228,0.254385964912281,58,"2020-21"
"38",175,0.325714285714286,57,"2020-21"
"39",123,0.398373983739837,49,"2020-21"
"4",5969,0.0469090299882727,280,"2020-21"
"40",109,0.357798165137615,39,"2020-21"
"41",110,0.345454545454545,38,"2020-21"
"42",63,0.333333333333333,21,"2020-21"
"43",35,0.514285714285714,18,"2020-21"
"44",30,0.3,9,"2020-21"
"45",24,0.291666666666667,7,"2020-21"
"46",20,0.25,5,"2020-21"
"47",23,0.217391304347826,5,"2020-21"
"48",7,0.571428571428571,4,"2020-21"
"49",12,0.333333333333333,4,"2020-21"
"5",6112,0.0409031413612565,250,"2020-21"
"50",3,0.333333333333333,1,"2020-21"
"51",5,0,0,"2020-21"
"52",2,0,0,"2020-21"
"53",1,0,0,"2020-21"
"54",1,1,1,"2020-21"
"55",3,0.333333333333333,1,"2020-21"
"56",1,1,1,"2020-21"
"59",1,0,0,"2020-21"
"6",5718,0.0342777194823365,196,"2020-21"
"7",5214,0.029535864978903,154,"2020-21"
"8",4338,0.0325034578146611,141,"2020-21"
"9",3763,0.0294977411639649,111,"2020-21"
